,E,tot>50keV,tot>200keV,tot>500keV,fe,se,de,511
31,360,0.1058207095216856,0.06577175042120534,0.0,0.04225982404952812,0.0,0.0,0.0
32,370,0.10566796060023949,0.06593598055703619,0.0,0.04166771254298551,0.0,0.0,0.0
33,380,0.10611201186444169,0.06687578529833245,0.0,0.041449039103810925,0.0,0.0,0.0
34,390,0.10582003600687297,0.06713757088486597,0.0,0.04105604522557074,0.0,0.0,0.0
35,400,0.10516181719105867,0.06699858438262866,0.0,0.04045101072742865,0.0,0.0,0.0
36,410,0.1051387277430738,0.0672508192353997,0.0,0.040404937394547556,0.0,0.0,0.0
37,420,0.10483421727575522,0.06761724326018081,0.0,0.039907969408242136,0.0,0.0,0.0
38,430,0.10569280809541019,0.06858113480303578,0.0,0.04005204192265992,0.0,0.0,0.0
39,440,0.10485418431379329,0.06837577287211667,0.0,0.03974565088365285,0.0,0.0,0.0
40,450,0.10457823161479171,0.06868424112699349,0.0,0.03949300797181655,0.0,0.0,0.0
